Date,Start,End,Name,Type
10-Apr,9:30,11:14,"Reading news, planning week, working on NPS variable naming",Initial
10-Apr,11:14,11:39,Amazon NPS variable naming,Pomodoro
10-Apr,11:39,13:00,"Variable naming, automation workflow diagramming, production meeting, NPS daily update",Break
10-Apr,13:00,13:25,Planning work week,Pomodoro
10-Apr,13:25,13:57,Lunch,Break
10-Apr,13:57,14:22,DevPop prep for Global,Pomodoro
10-Apr,14:22,14:27,Taking a break,Break
10-Apr,14:27,14:52,DevPop prep for Global,Pomodoro
10-Apr,14:52,14:56,Taking a break,Break
10-Apr,14:56,15:21,DevPop prep for Global,Pomodoro
10-Apr,15:21,15:28,Taking a break,Break
10-Apr,15:28,15:53,DevPop prep for Global,Pomodoro
10-Apr,15:53,16:01,Taking a break,Break
10-Apr,16:01,16:26,DevPop prep for Global,Pomodoro
10-Apr,16:26,16:36,Working and taking a break,Break
10-Apr,16:36,17:01,DevPop prep for Global,Pomodoro
10-Apr,17:01,17:22,Working,Break
10-Apr,17:22,17:47,DevPop prep for Global,Pomodoro
10-Apr,17:47,17:48,NA,Break
10-Apr,17:48,18:13,DevPop prep for Global,Pomodoro
10-Apr,18:13,18:13,NA,Break
10-Apr,18:13,18:36,DevPop prep for Global,Pomodoro
10-Apr,18:36,18:37,NA,Final
11-Apr,9:30,9:43,"Talking to coworkers, planning day",Initial
11-Apr,9:43,10:08,Amazon Pricing testing,Pomodoro
11-Apr,10:08,10:22,Taking a break,Break
11-Apr,10:22,10:47,Internet of Things ToC,Pomodoro
11-Apr,10:47,10:59,Working and taking a break,Break
11-Apr,10:59,11:24,Amazon NPS daily update,Pomodoro
11-Apr,11:24,11:31,Working and taking a break,Break
11-Apr,11:31,11:56,Amazon NPS ToC,Pomodoro
11-Apr,11:56,12:05,Taking a break,Break
11-Apr,12:05,12:30,ToC processor,Pomodoro
11-Apr,12:30,12:43,Working on processing automation,Break
11-Apr,12:43,13:08,IoT ToC,Pomodoro
11-Apr,13:08,13:15,Taking a break,Break
11-Apr,13:15,13:40,DevPop prep for Global,Pomodoro
11-Apr,13:40,14:03,Working,Break
11-Apr,14:03,14:28,DevPop prep for Global,Pomodoro
